0.001001 0.000000 
0.051051 0.000675 
0.101101 0.002742 
0.151151 0.006361 
0.201201 0.011722 
0.251251 0.019048 
0.301301 0.028609 
0.351351 0.040734 
0.401401 0.055823 
0.451451 0.074376 
0.501502 0.097020 
0.551552 0.124555 
0.601602 0.158015 
0.651652 0.198769 
0.701702 0.248656 
0.751752 0.310218 
0.801802 0.387065 
0.851852 0.484498 
0.901902 0.610641 
0.951952 0.778598 
1.002002 1.010966 
1.052052 1.350320 
1.102102 1.887574 
1.152152 2.857735 
1.202202 5.112750 
1.252252 16.011445 
1.302302 18.890116 
1.352352 6.519160 
1.402402 4.145904 
1.452452 3.142261 
1.502503 2.590201 
1.552553 2.242245 
1.602603 2.003770 
1.652653 1.830780 
1.702703 1.700043 
1.752753 1.598134 
1.802803 1.516755 
1.852853 1.450503 
1.902903 1.395706 
1.952953 1.349784 
